Имя;Фамилия;Отчество;Дата рождения;Серия паспорта;Номер паспорта;Пол;Место рождения;Паспорт выдан;Дата выдачи;Код подразделения
Алена;Петрова;Геннадьевна;27.09.1994;6985;100000;женский;г. Санкт-Петербург;МВД России;01.06.2003;789-321
Екатерина;Лужникова;Анатольевна;19.11.1996;3268;100001;женский;г. Москва;УМВД по Москве;12.08.2009;770-001
Иван;Смирнов;Олегович;05.04.1988;4456;100002;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Андрей;Кузнецов;Александрович;17.06.1985;5678;100003;мужской;г. Казань;ОВД ЦАО;01.01.2010;112-003
Мария;Смирнова;Алексеевна;12.03.1985;4321;100004;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Антон;Волков;Юрьевич;19.11.1987;3268;100005;мужской;г. Казань;ОВД Советского района;01.06.2011;112-003
Светлана;Коваленко;Ивановна;01.01.1993;4456;100006;женский;г. Ростов-на-Дону;ОВД Ленинского района;12.08.2014;612-005
Виктория;Захарова;Владимировна;17.08.1997;6985;100007;женский;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Алексей;Семенов;Александрович;10.02.1980;3268;100008;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Оксана;Макарова;Анатольевна;05.04.1988;4456;100009;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Евгений;Крыжнев;Геннадьевич;11.04.2000;5678;100010;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Александр;Иванов;Петрович;15.08.1990;1234;100011;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100012;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100013;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100014;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100015;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100016;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100017;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100018;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Елена;Белова;Евгеньевна;22.09.1993;1234;100019;женский;г. Москва;УМВД по Москве;01.09.2015;770-001
Игорь;Фёдоров;Павлович;11.04.2000;3268;100020;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Оксана;Макарова;Анатольевна;05.04.1988;4456;100021;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100022;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100023;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100024;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100025;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100026;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100027;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100028;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100029;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100030;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100031;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100032;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100033;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
